,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link
44,itm8,Dumaguete; Praha 13; Bromma,Information Technology,https://www.itm8.com/,"c#, java, python, powershell, f#, c++, microsoft365, dynamics-business-central, sql-server, sql, javascript, dynamics-al, reactjs, angular, .net, azure, azure-devops, azure-api-management, azureservicebus, azure-eventhub, azure-keyvault, azure-logic-apps, azure-cosmosdb, azure-active-directory, xunit, azure-sql-server, azure-cognitive-services, azure-appservice, azure-application-insight, dynamics-crm, microfocus, mariadb, mysql, postgresql, oracle, oracle-soa, weblogic, oracleforms, zabbix",1000.0,5000.0,2003.0,Private,59.0,https://stackoverflow.com/jobs/companies/itm8?c=OQBsoEi3Iej8YJeE&pg=5
45,ZEISS Group,Bengaluru; Miskolc; Budapest,"Machine Learning, Medical Devices, Virtual Reality",http://www.zeiss.de/karriere,"angular, swift, c#, azure, javascript, python, c++, machine-learning, tensorflow, matlab, cuda, c, qt, artificial-intelligence, reactjs, typescript, unity3d, go",10000.0,,1846.0,Private,149.0,https://stackoverflow.com/jobs/companies/zeiss-group?c=wSZsZcs7hw9jnaco&pg=5
46,MetLife,New York; Hanover; Bridgewater,"Financial Services, Insurance",https://jobs.metlife.com,"azure, java, python, terraform, aem, identity-management, ping, apache, c#, .net, javascript, sql, typescript, django, docker, express, hadoop, ionic-framework, jupyter, apache-kafka, kubernetes, node.js, oauth, apache-spark, spring, terraform-provider-azure, anaconda, git, db2, hbase, hive, sql-server, mongodb, oracle, postgresql, redis, azure-cosmosdb, azure-synapse, github, azure-devops, angular, apex, salesforce, adobe",10000.0,,1868.0,Public,46.0,https://stackoverflow.com/jobs/companies/metlife?c=OR5FXQpvLL4GQMDe&pg=5
47,Thermo Fisher Scientific Careers,Hyderabad; Bengaluru; Singapore,"Biotechnology, Pharmaceuticals, Science",https://jobs.thermofisher.com/global/en/c/it-jobs?rx_source=stackoverflow&rx_vp=jobslots&rx_c=&rx_campaign=&rx_ad=&rx_medium=post&rx_paid=1&rx_ch=jobpost&utm_source=stackoverflow-jobslots&utm_medium=jobpost&utm_campaign=profile&=&=&=,"javascript, sql, python, artificial-intelligence, azure, analytics, robotics, encoding, jquery, amazon-web-services, sap, computer-science, data-science",10000.0,,1956.0,Public,275.0,https://stackoverflow.com/jobs/companies/thermo-fisher-scientific-careers?c=OIpMsz4sm9qmJpni&pg=5
48,Synopsys Inc.,Sunnyvale,"Information Technology, Semiconductors",https://ad.doubleclick.net/ddm/clk/564350394;373335449;p?https://www.synopsys.com/careers.html?utm_source=stackoverflow.com&utm_medium=profile&utm_campaign=2023_Growth_Markets&utm_content=niche_site&utm_term=373335449&ss=paid,"c, c++, c#, system-verilog, verilog, python, dita, framemaker, unix, tcl, uvm, icc, apr, dft, spice, hbm, java, vhdl",10000.0,,1986.0,Public,29.0,https://stackoverflow.com/jobs/companies/synopsys-inc?c=OS476eEpSOBMATqo&pg=5
49,Contentful,Berlin; Denver,Software Development,https://www.contentful.com/,"javascript, ruby, typescript, swift, java, golang, node.js, kubernetes, amazon-web-services, postgresql, terraform, mks",501.0,1000.0,2013.0,VC Funded,118.0,https://stackoverflow.com/jobs/companies/contentful-gmbh?c=OPkT7xzSLsjwvMNW&pg=5
50,MongoDB,Gurugram; Barcelona; Paris,"Computer Software, Databases, Enterprise Software",https://www.mongodb.com/,"c++, c++17, go, java, python, javascript, reactjs, typescript, mongodb, mongoose, mongodb-query, rust, swift, dart, kotlin, .net",1000.0,5000.0,2007.0,Public,423.0,https://stackoverflow.com/jobs/companies/mongodb?c=ONhY8wgYVr5PrXl6&pg=6
51,eBay,Netanya; Kleinmachnow; Luxembourg,"eCommerce, Internet Marketing",https://jobs.ebayinc.com/us/en/c/engineering-jobs,"javascript, node.js, css3, html5, java, python, cc++, hadoop, cassandra, hbase, objective-c, c, cocoa, backbone.js, marko, jquery, jenkins, riak",10000.0,,1995.0,Public,287.0,https://stackoverflow.com/jobs/companies/ebay?c=8z4rkBn4OfAvrhqo&pg=6
52,PayPay Corporation.,No office location,Financial Technology,https://about.paypay.ne.jp/career/en/,"java, spring-boot, amazon-web-services, kubernetes, apache-kafka, microservices, jenkins, datadog, aurora, kibana, redis, rds, git, github, jira, agile, scramble, elasticsearch, load-balancing, android, ios, kotlin, scala, swift, javascript, restfulapi, python, go, typescript, tidb",1000.0,5000.0,2018.0,Private,500.0,https://stackoverflow.com/jobs/companies/paypay-corporation?c=LGtoLAjXBXIvlu6c&pg=6
53,CGI (Canada),Stratford; Halifax; Moncton,"Business Process Outsourcing, IT Consulting, System Integration",https://www.cgi.com/canada/en-ca,"azure, amazon-web-services, google-cloud-platform, oracle-cloud-infrastructu, devops, devsecops, sre, cloud, continuous-deployment, terraform, cloudformation, arm, ansible, sap, crm, java, .net, spring, php, javascript, powerbi, sql-server, bigdata, wordpress, magento, angular, angularjs, view, python",10000.0,,1976.0,Private,77.0,https://stackoverflow.com/jobs/companies/cgi-canada?c=OQ1c7dlw2No5x3Xy&pg=6
54,AVIV Group GmbH,Berlin; Nürnberg; Hamburg,"Ad Tech, Cloud-Based Solutions, Real Estate",https://www.aviv-group.com/,"amazon-web-services, sql, circleci, github-actions, gitlab-ci, terraform, datadog, docker, fetch-api, javascript, java, scala, python, c#, ios, android, typescript, celery, redis, postgresql, google-cloud-platform, kubernetes, ansible, jenkins, algolia, flask, publish-subscribe, node.js, .net-6.0, .net-core, nosql, rabbitmq",1000.0,5000.0,2021.0,Private,44.0,https://stackoverflow.com/jobs/companies/aviv-group-gmbh?c=OPwYy1e3ZgCxF0yY&pg=6
55,Bloomberg LP,Hong Kong Island; London; New York,"Data & Analytics, Financial Technology, News",https://www.bloomberg.com/engineering,"c, c++, c#, .net, java, javascript, html5, ruby, python, perl, sql, php, linux, hadoop, openstack, ios, android, ruby-on-rails, node.js, chef, puppet, apache, cloud, docker, mysql, apache-spark, solr, lucene, nlp, machine-learning, bigdata, open-source, elasticsearch, hbase, go, typescript, haskell, angular, apache-kafka, redis, kubernetes, postgresql, scala, ansible, tensorflow",10000.0,,1981.0,Private,365.0,https://stackoverflow.com/jobs/companies/bloomberg?c=3NdBKWpogs5Te1LW&pg=6
56,FINN,München,"Agile Software Development, Automotive, Mobility",https://www.finn.com/en-US/careers?utm_source=stackoverflow&utm_medium=company_profile,"typescript, amazon-web-services, node.js, go, serverless, reactjs, python, react-hooks, gitlab, jira, confluence, serverless-framework, express, flask, postman, webpack",201.0,500.0,2019.0,VC Funded,738.0,https://stackoverflow.com/jobs/companies/finn?c=MoDdZTBXzfccxfq0&pg=6
