,Name,Location,Type,Website,Specialities,Size_least,Size_Max,Founded,Status,Followers on Stack Overflow,Link
88,Erste Digital,Staré Mesto; Bratislava; Wien,"Banking, Finance, Financial Technology",https://www.erstedigital.com/en/career/positions-Austria,"java, java-8, javascript, rest, jersey, jpa, hibernate, junit, spring-boot, aop, ejb, jms, apache, angularjs, angular, bootstrap, json, xml, html, kotlin, intellij-idea, eclipse, netbeans, git, github, maven, jira, jboss, glassfish, tomcat, oracle, websphere, db2, postgresql, mysql, plsql, sql, elasticsearch, cassandra, mongodb, redis, hadoop, jquery, css, ajax, swift, python, c, c++, c#, sketch-3, perl, ruby, tosca, selenium, cucumber",1000.0,5000.0,,Public,69.0,https://stackoverflow.com/jobs/companies/erste-digital?c=OKKPAiQD1T6Aw4tG&pg=9
89,ICA Gruppen AB,Lithuania; Latvia; Estonia,Retail,https://karriar.icagruppen.se/global/en/it-tech-analytics,"gcp, azure, aws, devops, jenkins, cicd, terraform, kubernetes, docker, python, java, sql, c#, .net, asp.net-core, node.js, microservices, html, css, javascript",10000.0,,1917.0,Private,24.0,https://stackoverflow.com/jobs/companies/ica-gruppen-ab?c=OQHv6T79k8sEyl7a&pg=9
90,Bol.com,Utrecht,"E-Commerce, Information Technology, Retail",https://techlab.bol.com/,"java, kotlin, scrum, mongodb, google-cloud-platform, selenium, go, elasticsearch, docker, postgresql, cucumber, kubernetes, spring-boot, angular, reactjs, typescript, sass, google-bigquery, google-cloud-pubsub, cypress, javascript, microservices",1000.0,5000.0,1999.0,Public,139.0,https://stackoverflow.com/jobs/companies/bol-com?c=5NNxEvx3BW6JgPvy&pg=10
91,SMG Swiss Marketplace Group,Beograd; Berlin; Zug,"eCommerce, Information Services, Information Technology",https://swissmarketplace.group/,"vue.js, node.js, typescript, jestjs, sass, scss, syntax, amazon-web-services, aws-lambda, amazon-s3, aws, severless, serverless, frameworks, vuex, sam, angular, reactjs, postcss, hygen, pact.js, graphql, amazon-dynamodb, gitlab-ci, gitlab, apache, airflow-scheduler, amazon-aurora, aws-aurora-serverless, aws-fargate, elasticsearch, snowflake-cloud-data-plat, snowflake-schema, snowflake-task, amazon-kinesis, amazon-kinesis-analytics, aws-glue, glue-crawler, aws-glue-data-catalog, endpoint, amazon-athena, tableau-api, tableau-desktop, amazon-eks, amazon-redshift, aws-dms, aws-lambda-edge, amazon-emr, spring-data-elasticsearch, elastic-stack, aws-appsync, postman, cypress, webpack, c#, javascript, asp.net, .net",501.0,1000.0,,Private,34.0,https://stackoverflow.com/jobs/companies/smg-swiss-marketplace-group?c=OOWIgAhwjPHudlhS&pg=10
92,Lendico Deutschland GmbH,Berlin,"Financial Services, Financial Technology",https://www.lendico.de/karriere,"javascript, docker, kubernetes, html, css, reactjs, typescript, mysql, mariadb, postgresql, apache-kafka, rest, java, spring, kotlin, maven, jvm, junit, tdd",51.0,200.0,2013.0,Private,55.0,https://stackoverflow.com/jobs/companies/lendico-deutschland-gmbh?c=M52qzPYLGcmQ5rGg&pg=10
93,TWINT AG,Zürich; Bern,"Mobile Application, Mobile Payments",https://www.twint.ch/en/,"java, javascript, wildfly, sql, sql-pl, jenkins, gradle, git, linux, soapui, rest, kotlin, kubernetes, swift, selenium, confluence, jira, python, spring, kubernetes-helm, docker, devops, amazon-web-services",51.0,200.0,2016.0,Private,51.0,https://stackoverflow.com/jobs/companies/twint-ag?c=OP2KYP6BVJQZMXao&pg=10
94,Ypsomed AG,Oberburg; Solothurn; Barcelona,"Medical Devices, Medical Software",https://www.ypsomed.com/en/jobs-careers/vacant-positions/professionals.html,"ios, swift, kotlin, azure, amazon-web-services, cloud-foundry, c#, microservices, elastic, health-suite, iso13485, iec62304, agile, v-model, testautomation, segger-embos, nordic, stm32, c, c++, misra, ble, nfc, m2m, lte, iot, sap-successfactors, sap-hcm, sap-mm, sap-wm, git, kiss, yagni, solid, tdd, podman, python, cmake, meson, conan, catch2, terraform, chocolatey, ibm-doors, linux, windows, android, uml, scrum, devops, bluetooth, maven, spring, cucumber, appium, selenium, spring-boot, intellij, java",1000.0,5000.0,,Public,13.0,https://stackoverflow.com/jobs/companies/ypsomed-ag?c=ORnO6ySMBtxdzCgM&pg=10
95,Avanade Inc,Singapore; London; Seattle,"Information Technology, IT Consulting, Technology Consulting",http://avanade.com,"python, azure, agile, agile-project-management, javascript, java, sitecore, azure-devops, azure-active-directory, azure-sentinel, c#, .net, oracle, artificial-intelligence, devops, cloud, data-analysis, machine-learning, iot, azure-iot-hub, azure-resource-manager, sql, sql-server, databricks, azure-databricks, databricks-connect, html, css, dax, daxstudio, powerbi, powerbi-desktop, powerbi-embedded, power-bi-report-server, powerbi-datasource",10000.0,,2000.0,Private,22.0,https://stackoverflow.com/jobs/companies/avanade-inc?c=ORtQONHSdnGJ9e9i&pg=10
96,Citi,Pune; Chennai; Warsaw,"Finance, Financial Technology, Risk Management",https://jobs.citi.com/tech?cmp=TechStack_07-17-23_Global_Ext_Stackoverflow#/,"java, python, api, management, c#, ai, cloud-native, development, container, orchestrator, tools, event-driven-design, low-latency, aiml, javascript, typescript, bdd, agile, scrum, microservices, rtm, data-lineage, nosql, tdd, dynamic-analysis, static-analysis, code-coverage, performance-testing, chaos, user-experience, observability, velocity, azure-data-lake, golang-migrate, data-mesh, data-fabric, data-security",10000.0,,,Public,60.0,https://stackoverflow.com/jobs/companies/citi1?c=OPJ3YuSfd4VyOek0&pg=10
97,iFit,No office location,Health & Fitness,https://www.ifit.com/aboutus,"c#, objective-c, java, xamarin, git, javascript, reactjs, ios, android",201.0,500.0,1992.0,Private,340.0,https://stackoverflow.com/jobs/companies/ifit?c=qilZQU4ImPctC2cM&pg=10
98,Beiersdorf ,Wielkopolskie; Hamburg; Ciudad de México,Beauty,https://www.beiersdorf.com/career/departments-and-teams,"sap, sap-commerce-cloud, office365, magento, azure, vmware, sap-bw, s4hana",10000.0,,1882.0,Private,21.0,https://stackoverflow.com/jobs/companies/beiersdorf?c=OPV9oYwqqTezXs52&pg=10
99,IT.NRW,Paderborn; Hagen; Münster,"Information Technology, Statistics",http://www.it.nrw.de/karriere,"linux, .net, abap, apache, automatisierung, ansible, cicd, cloud, cms, collaboration, container, podman, css, devops, gitlab, docker, drupal, javascript, python, framework, fur, php, symfony, j2ee, jahia, java, jboss, jpa, jsf, json, tensorflow, kubernetes, laravel, mdm, mysql, mariadb, oracle, postgresql, react, ruby, sap, sas, r, scss, security, shell-scripting, testing, twig, ui5, vmware, voip, vpn, wan, xml, react-native",1000.0,5000.0,1948.0,Public,29.0,https://stackoverflow.com/jobs/companies/itnrw?c=OQdhxGZHgBH6GhIA&pg=10
100,KfW,Berlin; Frankfurt am Main,"Banking, Finance",http://www.kfw.de/it-jobs,"java, pl1, javascript, python, sap, c#, c++, php, r",5000.0,10000.0,1948.0,Public,8.0,https://stackoverflow.com/jobs/companies/kfw?c=OSshXbWMkrdOTkWs&pg=11
101,UBS,India; Hong Kong; Qatar,"Financial Services, Financial Technology",https://www.ubs.com/global/en/careers/technology-careers.html,"javascript, java, kotlin, kubernetes, cicd, python, postgresql, reactjs, github, gitlab, typescript, cloud, azure, ios, swift, objective-c, swiftui, maven, sql, nosql, mongodb, nist, r, machine-learning, artificial-intelligence, data-science, cloud-security",10000.0,,,Private,5.0,https://stackoverflow.com/jobs/companies/ubs?c=OSQsO9f8M3PRbMsw&pg=11
