,Name,Location,Type,Website,Specialities,Size,Founded,Status,Followers on Stack Overflow
82,PwC, New York," Consulting, Product Development, Technology Consulting",https://jobs.us.pwc.com/,"html5, css3, javascript","
10k+ employees
",N/A,"
Private
","
289
"
83,Stadtwerke Muenchen GmbH, München," Energy & Environment, Public Transportation, Telecommunications",https://www.swm.de/karriere/berufserfahrene/it?mtm_campaign=wp-swm-it&mtm_source=stackoverflow&mtm_medium=employer_profil&mtm_content=link&mtm_keyword=&mtm_group=,"security, iot, ai","
10k+ employees
",N/A,"
Public
","
27
"
84,Bupa, Bristol; London; Leeds," Healthcare, Insurance",https://careers.bupa.co.uk/,"azure, c#, .net","
10k+ employees
",1947,"
Private
","
51
"
85,MOIA GmbH, Berlin; Hamburg," Automotive, Mobility Services, ridesharing",https://www.moia.io/,"scala, kotlin, python","
201-500 employees
",2016,"
Private
","
94
"
86,Erste Digital, Wien; Praha 4; Bratislava," Banking, Finance, Financial Technology",https://www.erstedigital.com/en/career/positions-Austria,"java, java-8, javascript","
1k-5k employees
",N/A,"
Public
","
69
"
87,ICA Gruppen AB, Borås; Solna; Estonia, Retail,https://karriar.icagruppen.se/global/en/it-tech-analytics,"gcp, azure, aws","
10k+ employees
",1917,"
Private
","
22
"
88,Bol.com, Utrecht," E-Commerce, Information Technology, Retail",https://techlab.bol.com/,"java, kotlin, scrum","
1k-5k employees
",1999,"
Public
","
139
"
89,SMG Swiss Marketplace Group, Beograd; Valbonne; Lausanne," eCommerce, Information Services, Information Technology",https://swissmarketplace.group/,"vue.js, node.js, typescript","
501-1k employees
",N/A,"
Private
","
33
"
90,Lendico Deutschland GmbH, Berlin," Financial Services, Financial Technology",https://www.lendico.de/karriere,"javascript, docker, kubernetes","
51-200 employees
",2013,"
Private
","
54
"
91,TWINT AG, Zürich; Bern," Mobile Application, Mobile Payments",https://www.twint.ch/en/,"java, javascript, wildfly","
51-200 employees
",2016,"
Private
","
49
"
92,Ypsomed AG, Barcelona; Solothurn; Oberburg," Medical Devices, Medical Software",https://www.ypsomed.com/en/jobs-careers/vacant-positions/professionals.html,"ios, swift, kotlin","
1k-5k employees
",N/A,"
Public
","
13
"
93,Avanade Inc, Seattle; Singapore; London," Information Technology, IT Consulting, Technology Consulting",http://avanade.com,"python, azure, agile","
10k+ employees
",2000,"
Private
","
21
"
94,Citi, Dublin; Tampa; Irving," Finance, Financial Technology, Risk Management",https://jobs.citi.com/tech?cmp=TechStack_07-17-23_Global_Ext_Stackoverflow#/,"java, python, api","
10k+ employees
",N/A,"
Public
","
55
"
95,iFit, No office location, Health & Fitness,https://www.ifit.com/aboutus,"c#, objective-c, java","
201-500 employees
",1992,"
Private
","
339
"
96,Beiersdorf , Hamburg; Ciudad de México; Wielkopolskie, Beauty,https://www.beiersdorf.com/career/departments-and-teams,"sap, sap-commerce-cloud, office365","
10k+ employees
",1882,"
Private
","
21
"
97,IT.NRW, Münster; Paderborn; Düsseldorf," Information Technology, Statistics",http://www.it.nrw.de/karriere,"linux, .net, abap","
1k-5k employees
",1948,"
Public
","
29
"
98,Optum , India; Letterkenny; United States, Health Care,https://www.optum.com/,"apis, agilescrum, cloudawsazure","
10k+ employees
",2011,"
Public
","
43
"
99,KfW, Frankfurt am Main; Berlin," Banking, Finance",http://www.kfw.de/it-jobs,"java, pl1, javascript","
5k-10k employees
",1948,"
Public
","
8
"
100,UBS, United Kingdom; Poland; Qatar," Financial Services, Financial Technology",https://www.ubs.com/global/en/careers/technology-careers.html,"javascript, java, kotlin","
10k+ employees
",N/A,"
Private
","
3
"
